ATTRIBUTEDESCRIPTION_ID,ATTRIBUTEDESCRIPTION_NAME,ATTRIBUTEDESCRIPTION_LANGUAGE
1,Description,1
2,No. of Cores,1
3,Clockspeed,1
4,test 1,1
5,test 2,1
6,test 3,1
7,test 4,1
8,test 5,1
9,test 6,1
10,test 7,1
11,test 8,1
12,Тип телефон,1
13,SIM слотове,1
14,Вид SIM карта,1
15,Операционна система,1
16,Свързаност,1
17,Версия Bluetooth,1
18,Версия на операционната система,1
19,Модел процесор,1
20,Брой ядра,1
21,Сензори,1
22,Съдържание пакет,1
23,Цвят,1
24,Размери,1
25,Тегло,1
26,SAR (W/кг),1
27,Година на лансиране,1
28,Технология,1
29,Защита,1
30,RO-ALERT,1
31,Размери екран,1
32,Тип дисплей,1
33,Резолюция (пиксели),1
34,Характеристики на дисплея,1
35,Вътрешна памет,1
36,RAM памет,1
37,Wi-Fi стандарт,1
38,Портове,1
39,Брой камери,1
40,Резолюция на основна камера,1
41,Резолюция на вторична камера,1
42,Видео резолюция,1
43,Фото/видео характеристики,1
44,Светкавица,1
45,Тип батерия,1
46,Резолюция на камерата,1
47,Memory card slot,1
48,Модел,1
49,Капацитет батерия,1
50,Честота,1
52,Сензори,1
53,Състояние на мрежата,1
54,Други,1
55,Капацитет,1
56,Клас,1
57,Стандарт UHS,1
58,Скорост на трансфер (MB/s),1
59,Скорост на трансфер при четене,1
60,Скорост на трансфер при запис,1
61,Волтаж (V),1
62,Адаптер,1
63,Други,1
64,Съдържание пакет,1
65,Вид памет,1
