PRODUCT_ID,PRODUCT_MODEL,PRODUCT_MANUFACTURER,PRODUCT_STATUS,PRODUCT_QUANTITY,PRODUCT_PRICE,PRODUCT_IMAGE,PRODUCT_SKU,PRODUCT_UPC,PRODUCT_EAN,PRODUCT_JAN,PRODUCT_ISBN,PRODUCT_MPN,PRODUCT_DATEAVAILABLE,PRODUCT_WEIGHT,PRODUCT_LENGTH,PRODUCT_WIDTH,PRODUCT_HEIGHT,PRODUCT_DATEADDED,PRODUCT_DATEMODIFIED,PRODUCT_UPDATEDBY,PRODUCT_POINTS,PRODUCT_SHIPPING,PRODUCT_LOCATION,PRODUCT_SUBTRACT,PRODUCT_MINIMUM,PRODUCT_STOCKSTATUS
28,Product 1,5,true,1224,100.0000,https://dev.opencart-demo.eu1.codbex.com/image/catalog/demo/htc_touch_hd_1.jpg,,,,,,,2009-02-03,146.40000000,0E-8,0E-8,0E-8,2009-02-03 16:06:50.0,2024-01-18 15:49:53.0,,200,true,,true,1,7
29,Product 2,6,true,979,279.9900,https://dev.opencart-demo.eu1.codbex.com/image/catalog/demo/palm_treo_pro_1.jpg,,,,,,,2009-02-03,300.00000000,0E-8,0E-8,0E-8,2009-02-03 16:42:17.0,2024-01-18 14:32:10.0,,0,true,,true,1,6
30,Product 3,9,true,5,100.0000,https://dev.opencart-demo.eu1.codbex.com/image/catalog/demo/canon_eos_5d_1.jpg,,,,,,,2009-02-03,0.50000000,0E-8,0E-8,0E-8,2009-02-03 16:59:00.0,2024-01-18 14:29:47.0,,0,true,,true,1,6
31,Product 4,0,true,1111,80.0000,https://dev.opencart-demo.eu1.codbex.com/image/catalog/demo/nikon_d300_1.jpg,,,,,,,2009-02-03,0.30000000,0E-8,0E-8,0E-8,2009-02-03 17:00:10.0,2024-01-29 14:04:18.0,,0,true,,true,1,6
32,Product 5,8,true,999,100.0000,https://dev.opencart-demo.eu1.codbex.com/image/catalog/demo/ipod_touch_1.jpg,,,,,,,2009-02-03,0.20000000,0E-8,0E-8,0E-8,2009-02-03 17:07:26.0,2024-01-18 14:31:19.0,,0,true,,true,1,6
33,Product 6,0,true,985,200.0000,https://dev.opencart-demo.eu1.codbex.com/image/catalog/demo/samsung_syncmaster_941bw.jpg,,,,,,,2009-02-03,1.50000000,0E-8,0E-8,0E-8,2009-02-03 17:08:31.0,2024-01-18 14:32:44.0,,0,true,,true,1,6
34,Product 7,8,true,1000,100.0000,https://dev.opencart-demo.eu1.codbex.com/image/catalog/demo/ipod_shuffle_1.jpg,,,,,,,2009-02-03,0.10000000,0E-8,0E-8,0E-8,2009-02-03 18:07:54.0,2024-01-18 14:31:11.0,,0,true,,true,1,6
35,Product 8,0,true,1000,100.0000,,,,,,,,2009-02-03,5.00000000,0E-8,0E-8,0E-8,2009-02-03 18:08:31.0,2011-09-30 01:06:17.0,,0,false,,true,1,5
36,Product 9,8,true,994,100.0000,https://dev.opencart-demo.eu1.codbex.com/image/catalog/demo/ipod_nano_1.jpg,,,,,,,2009-02-03,0.10000000,0E-8,0E-8,0E-8,2009-02-03 18:09:19.0,2024-01-18 14:31:04.0,,100,false,,true,1,6
40,product 11,8,true,943,101.0000,https://dev.opencart-demo.eu1.codbex.com/image/catalog/demo/iphone_1.jpg,,,,,,,2009-02-03,0.30000000,0E-8,0E-8,0E-8,2009-02-03 21:07:12.0,2024-01-18 14:30:50.0,,0,true,,true,1,5
